Date,Symbols,Close,High,Low,Open,Volume
2020-12-03,AMZN,3186.73,3228.64,3181.31,3205.46,2892039
2020-12-03,GOOGL,1821.84,1843.83,1817.0,1820.54,1236366
2020-12-03,FB,281.85,286.65,281.07,286.25,12921694
2020-12-03,PFE,38.581,39.484,38.033,39.437,71253004
2020-12-03,BNTX,118.68,121.8,115.0,119.85,4264644
2020-12-03,MRNA,157.26,159.11,143.0101,143.5,38656507
2020-12-02,AMZN,3203.53,3232.0,3173.2601,3221.65,3129304
2020-12-02,GOOGL,1824.97,1832.74,1785.1695,1795.36,1471235
2020-12-02,FB,287.52,291.78,280.825,285.36,17361624
2020-12-02,PFE,39.263,39.85,38.783,38.945,87647754
2020-12-02,BNTX,121.09,123.59,116.43,120.85,7164716
2020-12-02,MRNA,143.0,149.7999,128.1,138.63,51217334
2020-12-01,AMZN,3220.08,3248.95,3157.18,3188.5,4544382
2020-12-01,GOOGL,1795.36,1821.7199,1763.03,1766.655,1868134
2020-12-01,FB,286.55,289.3,278.96,279.16,20777906
2020-12-01,PFE,37.926,38.975,37.54,37.917,75503825
2020-12-01,BNTX,114.01,128.1299,108.0,124.5,9634549
2020-12-01,MRNA,141.01,178.5,130.33,177.66,125552341
2020-11-30,AMZN,3168.04,3228.39,3125.55,3208.48,4063916
2020-11-30,GOOGL,1754.4,1780.335,1747.84,1775.65,1620887
2020-11-30,FB,276.97,277.7,271.01,276.03,16693336
2020-11-30,PFE,36.867,37.338,36.183,36.521,67985804
2020-11-30,BNTX,124.24,124.91,113.5,113.64,9934807
2020-11-30,MRNA,152.74,153.8699,141.05,144.0,73203064
2020-11-27,AMZN,3195.34,3216.19,3190.05,3211.26,2392867
2020-11-27,GOOGL,1787.02,1797.01,1764.54,1764.54,739507
2020-11-27,FB,277.81,279.13,274.82,277.39,7808426
2020-11-27,PFE,35.829,35.856,35.367,35.395,26265972
2020-11-27,BNTX,109.99,111.2,106.1,106.44,3874562
2020-11-27,MRNA,127.03,130.06,114.86,115.12,43438495
2020-11-25,AMZN,3185.07,3198.0,3140.26,3141.87,3790403
2020-11-25,GOOGL,1764.13,1770.38,1748.36,1767.81,979957
2020-11-25,FB,275.59,280.18,272.65,278.14,12467009
2020-11-25,PFE,35.154,35.184,34.875,35.154,28010498
2020-11-25,BNTX,104.96,106.06,99.1,100.0,3007405
2020-11-25,MRNA,109.18,109.29,98.65,99.03,25850691
2020-11-24,AMZN,3118.06,3134.25,3086.258,3100.5,3602102
2020-11-24,GOOGL,1763.9,1766.475,1720.73,1727.5,1400306
2020-11-24,FB,276.92,277.8199,267.87,268.49,16930424
2020-11-24,PFE,35.222,35.357,34.663,34.769,44147589
2020-11-24,BNTX,101.87,103.43,97.5601,100.92,3864020
2020-11-24,MRNA,98.56,99.89,93.54,98.4,12515336
2020-11-23,AMZN,3098.39,3139.745,3065.46,3116.6986,4708887
2020-11-23,GOOGL,1727.56,1745.99,1710.18,1740.22,1127618
2020-11-23,FB,268.43,270.9471,264.53,270.89,20990786
2020-11-23,PFE,35.145,35.694,34.846,35.635,45381922
2020-11-23,BNTX,106.5,109.98,104.2,109.73,5194195
2020-11-23,MRNA,101.03,101.77,98.62,100.77,16359624
2020-11-20,AMZN,3099.4,3132.89,3098.0456,3117.02,3380138
2020-11-20,GOOGL,1736.38,1768.3625,1735.0,1762.0,1385322
2020-11-20,FB,269.7,273.0,269.41,272.56,18122412
2020-11-20,PFE,35.318,35.905,35.068,35.318,63006275
2020-11-20,BNTX,104.07,105.33,99.05,100.0,6776843
2020-11-20,MRNA,97.61,98.43,94.82,95.0,15306303
2020-11-19,AMZN,3117.02,3125.0,3080.92,3105.31,3010270
2020-11-19,GOOGL,1758.57,1763.49,1730.02,1733.23,1005340
2020-11-19,FB,272.94,273.47,269.19,271.025,12963658
2020-11-19,PFE,34.828,35.251,34.51,35.222,44954540
2020-11-19,BNTX,94.93,95.09,91.29,91.6,3400119
2020-11-19,MRNA,92.77,94.65,89.5114,90.0,16002015
2020-11-18,AMZN,3105.46,3140.0,3105.1,3134.0,2916836
2020-11-18,GOOGL,1740.64,1765.0,1738.5658,1756.64,1005377
2020-11-18,FB,271.97,277.3889,271.84,274.52,12152945
2020-11-18,PFE,34.952,36.011,34.933,35.54,65925010
2020-11-18,BNTX,90.44,92.46,88.26,90.8,5772603
2020-11-18,MRNA,88.89,94.0,88.6103,93.87,21823450
2020-11-17,AMZN,3135.66,3189.25,3135.26,3183.5445,3444735
2020-11-17,GOOGL,1761.66,1777.14,1759.49,1767.86,1066034
2020-11-17,FB,275.0,277.68,273.29,277.68,15040297
2020-11-17,PFE,34.683,35.126,34.471,35.115,48822868
2020-11-17,BNTX,86.93,92.0,86.65,89.0,4057352
2020-11-17,MRNA,93.15,97.8,91.6,97.23,26171963
2020-11-16,AMZN,3131.06,3142.7,3072.685,3093.2,3808676
2020-11-16,GOOGL,1774.03,1794.34,1761.33,1764.14,1273393
2020-11-16,FB,278.96,279.41,274.63,275.05,12970352
2020-11-16,PFE,35.925,36.521,35.462,36.435,74464326
2020-11-16,BNTX,91.52,97.0,87.07,96.64,11171585
2020-11-16,MRNA,97.95,103.2,93.3,100.31,70853055
2020-11-13,AMZN,3128.81,3141.7227,3085.39,3122.0,3762587
2020-11-13,GOOGL,1772.26,1777.13,1735.98,1748.0,1487877
2020-11-13,FB,276.95,277.76,273.1,277.72,10400101
2020-11-13,PFE,37.165,37.199,36.285,36.443,39751732
2020-11-13,BNTX,106.0,108.2,103.37,104.12,3009657
2020-11-13,MRNA,89.39,90.53,85.22,86.62,14176721
2020-11-12,AMZN,3110.28,3175.88,3086.05,3159.95,4371208
2020-11-12,GOOGL,1742.82,1764.98,1737.97,1742.0,1324363
2020-11-12,FB,275.08,279.75,274.43,277.18,12914206
